mbid,bpm,key,scale,danceability,mood_happy,genre_ab
042c0c6b-0e01-423f-adb2-14bf0948e3d4,,,,,,
0379ed24-fd11-4dd2-b884-c21a14f22238,,,,,,
05f863d9-0c54-4d9e-b7e2-9e0d1241dad9,,,,,,
06c6adce-6596-4798-831a-01fd84bc38b1,,,,,,
296fbbd4-57b1-41f6-8394-da2ea3bb9c10,,,,,,
035f56c4-77c4-306a-9940-da2813965bb2,,,,,,
02c47925-5759-4d3f-9055-cb9ef45e5a01,,,,,,
21385435-283a-3296-b8bb-27aca961f51f,,,,,,
03c32a88-5cb3-4bad-854c-8f64784442f3,,,,,,
001d4980-8678-368d-9b30-02b36ddf89b9,,,,,,
09116bdc-0040-4397-bbaa-1faa16cfc801,,,,,,
008701ee-8d10-4b40-a06f-c3a27bb77c2e,,,,,,
05e71c10-306e-4cca-be5e-f38710b5f1b3,,,,,,
00fb4b8f-3340-34ef-bcca-8235030ed686,,,,,,
4bf72ebc-16c7-377f-8df2-42dd67893e14,,,,,,
032d2739-7d6c-4140-9bde-2807e9a7a228,,,,,,
0af076eb-c4ab-4d20-b7ec-063434336e89,,,,,,
0b7a2fba-cba6-45a5-9192-a0caeee7b107,,,,,,
702acfcd-2f5c-44a6-82c3-38ddaca30193,,,,,,
735d7c02-4890-47e3-8125-e570f9713216,,,,,,
3d9d1539-aa41-34da-9e60-39328f3a6aff,,,,,,
80ee0544-c9d5-440c-ad5b-075f476a456b,,,,,,
c685e5f9-e8a5-31a2-a1c7-355cd0ea7dbd,,,,,,
45881d97-d7ee-42a0-bc4f-e68098b1612e,,,,,,
29b31c4c-3b78-4802-b226-5e8fae86fb4f,139.968322754,F,minor,0.062867693603,0.00435223756358,electronic
407f0bd7-2035-3c89-abe7-ce02fdb5c267,,,,,,
0036d5da-3f50-3268-9d7a-48306688e276,,,,,,
0797347e-3152-42b4-bd72-04f0c8923658,,,,,,
05c99561-ba32-4923-8beb-b27315a629ba,,,,,,
04c6198b-f9c7-4461-a47c-d7c8957c6274,,,,,,
4abd4edc-e436-4d1f-8bef-cc1637ae0812,,,,,,
07831b35-07ce-43aa-8ef1-bf78facf01ed,,,,,,
034c0420-f9f2-34cd-8730-d028dfa41e2d,,,,,,
03afca49-0bcc-351f-b9e9-77a6ff42a873,,,,,,
033bd0ee-a8bb-4997-be85-a54fd650dfd8,,,,,,
084a1135-26dd-4c89-b860-9f071b1818f1,,,,,,
0a61b0cb-50f3-4c92-bbbf-e91f7c39241b,,,,,,
03e65c4b-6c46-4f6b-8d05-a3353dd1c7bb,,,,,,
