artist,artist_playcount,artist_listeners,mbid,rank_global_artist
RAYE,59778836,1852187,8be564c3-dfba-440b-af8c-4ffbceeef45e,72
Malcolm Todd,82160342,1196899,6c2a79b8-2b5c-4c2d-b495-6a446811bf9d,73
Tate McRae,275833080,2242277,f9133869-f87c-459c-9aa7-2f176cda7e06,74
My Chemical Romance,540555577,4814650,c07f0676-9143-4217-8a9f-4c26bd636f13,75
Green Day,442461593,6554921,084308bd-1654-436f-ba03-df6697104e19,76
Queen,423003962,7192384,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,77
J. Cole,304075254,3832721,875203e1-8e58-4b86-8dcb-7190faf411c5,78
Laufey,254617319,2303281,21a89505-10a9-4ac0-8388-833bc07b9f86,79
Post Malone,329625379,3512112,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,80
Daniel Caesar,240405935,2330913,b46e298d-d3a5-4695-a03e-63e8c523b23e,81
System of a Down,508401863,5789606,cc0b7089-c08d-4c10-b6b0-873582c17fd6,82
Eminem,564884006,7757431,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,83
Panic! at the Disco,317397030,4394606,b9472588-93f3-4922-a1a2-74082cdf9ce8,84
Sade,135351000,3371760,67930b3e-e00b-469f-8c74-fd69f20522ec,85
Yeat,367938663,1612664,9e6a6a2f-f696-4cc0-87f1-e4f712e46802,86
Hozier,280195418,3319383,b4691384-50c3-4afd-9988-51d3ec5db65d,87
Metro Boomin,242726533,2463992,59db3d82-86ea-451f-881f-dffc8ec387c9,88
Miley Cyrus,298445586,4814713,7e9bd05a-117f-4cce-87bc-e011527a8b18,89
The Killers,378039098,6911207,95e1ead9-4d31-4808-a7ac-32c3614c116b,90
Djo,91033608,2299111,83cedfd0-a118-48eb-ad71-72f4c2f95fd2,91
Black Eyed Peas,151685191,5691953,d5be5333-4171-427e-8e12-732087c6b78e,92
Cigarettes After Sex,307879358,2857189,34557d8f-ee4a-44ab-ae6e-49bb8ac604d0,93
Daft Punk,404731983,6281294,056e4f3e-d505-4dad-8ec1-d04f521cbb56,94
Pink Floyd,605817197,5523481,83d91898-7763-47d7-b03b-b92132375c47,95
Justin Timberlake,164247426,5511727,596ffa74-3d08-44ef-b113-765d43d12738,96
Pierce the Veil,264886990,2071711,8ed919fb-eaee-45a1-ba99-b3ede9ca5f1d,97
Baby Keem,200162526,2014858,81d12ca7-5b89-4d21-8736-860b7400b4eb,98
Fall Out Boy,418766516,5045271,516cef4d-0718-4007-9939-f9b38af3f784,99
KATSEYE,95204388,1517978,abbf7d85-9a7f-4a6c-80bd-bf71f2c7d520,100
Marina,180683257,2251616,b37e091c-d2ee-4707-bfb1-402fc32f29bd,101
Madonna,358915993,5563474,79239441-bfd5-4981-a70c-55c3f15c1287,102
TWICE,495736288,1895210,8da127cc-c432-418f-b356-ef36210d82ac,103
Muse,567926058,6360746,9c9f1380-2516-4fc9-a3e6-f9f61941d090,104
David Guetta,187085445,5196911,302bd7b9-d012-4360-897a-93b00c855680,105
Brent Faiyaz,231797119,2029827,201412c6-7ced-472b-87a9-9259ec3c07d3,106
Kesha,116802022,3121802,fab34286-b8e1-4879-bce3-194e1358fbd2,107
The Smashing Pumpkins,257023940,4526887,ba0d6274-db14-4ef5-b28d-657ebde1a396,108
ABBA,189774086,4363973,d87e52c5-bb8d-4da8-b941-9f4928627dc8,109
JAŸ-Z,2774481,545171,,110
The Cranberries,156751433,4701520,c98d40fd-f6cf-4b26-883e-eaa515ee2851,111
LE SSERAFIM,301025248,1643746,1ee37742-1e3d-4e61-84d2-bc85f4c1459a,112
Pitbull,107522417,4379650,d262ea27-3ffe-40f7-b922-85c42d625e67,113
Jeff Buckley,163415481,3345121,e6e879c0-3d56-4f12-b3c5-3ce459661a8e,114
Dua Lipa,317441921,3251023,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,115
David Bowie,402092846,5570262,5441c29d-3602-4898-b1a1-b77fa23b8e50,116
Conan Gray,249933604,2401096,850a8b03-98a7-4fd3-afbd-5e5520b4ef5f,117
NewJeans,327155970,1792651,49204a7a-ed85-407a-828f-6fd46f1d8126,118
Cocteau Twins,168615263,2281483,000fc734-b7e1-4a01-92d1-f544261b43f5,119
Lil Peep,369947599,2174856,92da4329-77a4-425c-8e92-4280110cace9,120
XXXTENTACION,339279967,2800443,61af87f4-16ee-4431-8504-cc06187079fb,121
Doechii,94978957,2006128,9f75277c-b283-4846-ac8c-f932255cd0ac,122
EsDeeKid,59169654,924327,3d253cbd-fb66-4752-a8d1-f9b0db75bcea,123
One Direction,315088980,3244546,1a425bbd-cca4-4b2c-aeb7-71cb176c828a,124
Foo Fighters,361672513,6342193,67f66c07-6e61-4026-ade5-7e782fad3a5d,125
Lil Wayne,166575428,3556315,ac9a487a-d9d2-4f27-bb23-0f4686488345,126
Nelly Furtado,116655980,4824375,13655113-cd16-4b43-9dca-cadbbf26ee05,127
PARTYNEXTDOOR,168453365,1955715,f23ef341-33bd-47c1-b83c-846a78581f05,128
Metallica,532194617,5155895,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,129
Melanie Martinez,245922634,2290006,0df563ec-1a79-486e-a46d-5b9862a40311,130
Oasis,325962889,5848154,39ab1aed-75e0-4140-bd47-540276886b60,131
Beach House,243037190,3500563,d5cc67b8-1cc4-453b-96e8-44487acdebea,132
The 1975,299477515,2631952,5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,133
Juice WRLD,516722102,2476221,4e4ebde4-0c56-4dec-844b-6c73adcdd92d,134
Slipknot,359945338,4190897,a466c2a2-6517-42fb-a160-1087c3bafd9f,135
Gunna,179415887,1796281,100b8734-f4f0-4536-9960-47f7c59d1b4c,136
Kid Cudi,272263951,4672358,e0e1db18-f7ba-4dee-95ff-7ae8cf545460,137
Megan Thee Stallion,182893811,2311505,ee27b2d8-648c-4a9d-a68c-e55066959975,138
MGMT,218348191,5239925,c485632c-b784-4ee9-8ea1-c5fb365681fc,139
Halsey,220758622,2809554,3377f3bb-60fc-4403-aea9-7e800612e060,140
21 Savage,218108641,2287916,37b2cb82-ef79-4d46-a184-a549450aa231,141
Limp Bizkit,177539065,4105840,8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,142
Adele,316961596,5592608,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,143
Gracie Abrams,284832004,1791516,f7441bc7-d7de-4813-a2fc-31a4033d396d,144
OutKast,147776852,4947627,73fdb566-a9b1-494c-9f32-51768ec9fd27,145
Tory Lanez,146788296,1948817,5b8ec72b-9e39-4a06-a2bf-964166b92a71,146
Jung Kook,804528642,1465309,23c8056b-ee13-4cfc-a772-2f5292e35bb5,147
Billy Joel,127968216,4027177,64b94289-9474-4d43-8c93-918ccc1920d1,148
bôa,81135445,2095087,ca1dcba2-792c-4550-abf2-7b45396e81ca,149
Alex G,251471036,2047409,7545a8ca-a3c9-490f-93f9-68886dcddff1,150
Noah Kahan,171572399,1560269,a2a3f910-b188-43e7-81d0-f1ac2a2f3e12,151
Shakira,178097160,4839768,bf24ca37-25f4-4e34-9aec-460b94364cfc,152
Sufjan Stevens,298342029,3889468,01d3c51b-9b98-418a-8d8e-37f6fab59d8c,153
Troye Sivan,168947184,2435501,e5712ceb-c37a-4c49-a11c-ccf4e21852d4,154
Avril Lavigne,265539383,5106061,0103c1cc-4a09-4a5d-a344-56ad99a77193,155
Demi Lovato,198667275,3370160,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,156
Evanescence,216317718,4475391,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,157
BLACKPINK,310852425,1980383,48646387-1664-4c9a-9139-9bfd091b823c,158
Phoebe Bridgers,287438755,2139145,96855c21-b832-4366-ba12-0d2330c36a86,159
